NO,Scale,Lon,Lat,Eco,flux,Observed temperature,T,LAI,SWC,SOC,MAT,TT
1,Yearly,101.2,21.85,Forest,931.07,20.72332677,6,2.868695652,0.071360678,0.98,20.90104606,6Y
2,Yearly,101.25,21.93,Forest,943.75,22.55999339,6,3.505879227,0.062333197,1.17,22.57946708,6Y
3,Yearly,101.2,21.95,Forest,995.5,21.14999342,6,3.582826087,0.06195591,1.12,21.06104606,6Y
4,Yearly,112.83,22.57,Forest,699.485,22.47099339,6,1.432108696,0.461349313,0.98,22.66157234,6Y
5,Yearly,112.9,22.68,Forest,1089.696923,22.62153185,6,1.481187291,0.462048245,1.26,22.68157234,6Y
6,Yearly,112.58,23.13,Forest,1069.345,22.85499339,6,4.913913044,0.348691544,1.26,22.81104602,6Y
7,Yearly,112.53,23.17,Forest,1057.388889,22.79666005,6,4.504649759,0.296734988,1,22.81104602,6Y
8,Yearly,112.17,23.17,Forest,597,22.80999339,6,3.136956522,0.126023698,1.26,22.53473023,6Y
9,Yearly,112.55,23.18,Forest,1053,23.04999338,6,4.441086957,0.274444703,0,22.81104602,6Y
10,Yearly,113.5,23.33,Forest,964,22.3249934,6,2.730543479,0.179914197,1.12,22.15630919,6Y
11,Yearly,117.43,24.33,Forest,1169.797,19.93999345,5,2.128043478,0.109266607,1.24,19.69209872,5Y
12,Yearly,101.02,24.53,Forest,1130.335714,11.08142222,4,3.050180124,0.059782162,0.74,11.33894101,4Y
13,Yearly,118.92,24.92,Forest,1215.556364,21.04362979,6,0.329644269,NA,NA,21.30420395,6Y
14,Yearly,113.45,25.22,Forest,1572,15.59999355,5,3.367826087,0.140000138,1.12,15.79894091,5Y
15,Yearly,113.43,25.23,Forest,1083,15.59999355,5,3.567608696,0.13750095,1.8,15.79894091,5Y
16,Yearly,116.42,25.68,Cropland,431.5,19.05999347,5,1.82826087,0.126377943,1.12,19.48104609,5Y
17,Yearly,116.42,25.68,Grassland,928.5,19.27999347,5,1.850978261,0.121016015,1.12,19.48104609,5Y
18,Yearly,116.42,25.68,Forest,1522,19.27999347,5,1.850978261,0.121016015,1.12,19.48104609,5Y
19,Yearly,119.25,26.05,Grassland,1684,21.02999343,6,1.877391304,0.286874277,1.12,21.28578289,6Y
20,Yearly,117.43,26.2,Forest,960.3333333,20.21999344,6,5.166304348,0.093716101,1.24,20.35999344,6Y
21,Yearly,117.53,26.22,Forest,924,20.38999344,6,4.984782609,0.069790587,1.24,19.99209871,6Y
22,Yearly,115.07,26.75,Cropland,1360.5,18.54999348,5,2.1475,0.177854963,1.12,19.39157241,5Y
23,Yearly,115.07,26.75,Forest,647.5104851,19.1685649,5,2.297779503,0.178737104,1.12,19.39157241,5Y
24,Yearly,109.5,26.8,Forest,640.5375,17.14078897,5,2.692347068,0.087927007,1.8,16.91630931,5Y
25,Yearly,106.98,26.97,Forest,858,15.75999354,5,1.217391304,0.078529214,1.08,15.56420407,5Y
26,Yearly,118.13,27.03,Forest,1154.933333,18.00999349,5,3.167753623,0.115876975,1.24,18.03262507,5Y
27,Yearly,118.13,27.03,Cropland,927,18.00999349,5,3.167753623,0.115876975,1.24,18.03262507,5Y
28,Yearly,118.15,27.05,Forest,1079.091071,17.90726623,5,3.165424901,0.113084965,1.24,18.03262507,5Y
29,Yearly,114.75,27.67,Forest,332.8,18.49999348,5,3.248913043,0.154433005,0,18.5005198,5Y
30,Yearly,117.65,27.73,Forest,1116.488571,10.2785651,4,5.501956522,0.090802832,1.8,10.46315156,4Y
31,Yearly,117.65,27.73,Grassland,908,10.32999367,4,5.667826087,0.088028107,1.8,10.46315156,4Y
32,Yearly,114.63,27.75,Forest,980,18.55999348,5,2.856956522,0.179978367,1.24,18.4905198,5Y
33,Yearly,113.03,28.12,Forest,601.4,18.58799348,5,0.433086956,0.146791926,1.12,18.32104612,5Y
