NO,Lon,Lat,lat,Alt,alt,Eco,flux,MAT,LAI,SOC,SWC,YN
1,101.2,21.85,2,756,1,Forest,931.07,20.72332677,2.868695652,0.98,0.071360678,NLT
2,101.25,21.93,2,580,1,Forest,943.75,22.55999339,3.505879227,1.17,0.062333197,NLT
3,101.2,21.95,2,NA,NAA,Forest,995.5,21.14999342,3.582826087,1.12,0.06195591,NLT
4,112.83,22.57,2,NA,NAA,Forest,699.485,22.47099339,1.432108696,0.98,0.461349313,NLT
5,112.9,22.68,2,NA,NAA,Forest,1089.696923,22.62153185,1.481187291,1.26,0.462048245,NLT
6,112.58,23.13,2,NA,NAA,Forest,1069.345,22.85499339,4.913913044,1.26,0.348691544,NLT
7,112.53,23.17,2,NA,NAA,Forest,1057.388889,22.79666005,4.504649759,1,0.296734988,NLT
8,112.17,23.17,2,NA,NAA,Forest,597,22.80999339,3.136956522,1.26,0.126023698,NLT
9,112.55,23.18,2,NA,NAA,Forest,1053,23.04999338,4.441086957,0,0.274444703,NLT
10,113.5,23.33,2,125,1,Forest,964,22.3249934,2.730543479,1.12,0.179914197,NLT
11,117.43,24.33,2,225,1,Forest,1169.797,19.93999345,2.128043478,1.24,0.109266607,NLT
12,101.02,24.53,2,200,1,Forest,1130.335714,11.08142222,3.050180124,0.74,0.059782162,NLT
13,118.92,24.92,2,200,1,Forest,1215.556364,21.04362979,0.329644269,NA,NA,NLT
14,113.45,25.22,2,240,1,Forest,1572,15.59999355,3.367826087,1.12,0.140000138,NLT
15,113.43,25.23,2,200,1,Forest,1083,15.59999355,3.567608696,1.8,0.13750095,NLT
16,116.42,25.68,2,200,1,Cropland,431.5,19.05999347,1.82826087,1.12,0.126377943,NLT
17,116.42,25.68,2,200,1,Grassland,928.5,19.27999347,1.850978261,1.12,0.121016015,NLT
18,116.42,25.68,2,200,1,Forest,1522,19.27999347,1.850978261,1.12,0.121016015,NLT
19,119.25,26.05,2,NA,NAA,Grassland,1684,21.02999343,1.877391304,1.12,0.286874277,NLT
20,120.02,26.12,2,NA,NAA,Forest,1052.23,NaN,0,NA,NA,
21,117.43,26.2,2,NA,NAA,Forest,960.3333333,20.21999344,5.166304348,1.24,0.093716101,NLT
22,117.53,26.22,2,NA,NAA,Forest,924,20.38999344,4.984782609,1.24,0.069790587,NLT
23,115.07,26.75,2,NA,NAA,Cropland,1360.5,18.54999348,2.1475,1.12,0.177854963,NLT
24,115.07,26.75,2,NA,NAA,Forest,647.5104851,19.1685649,2.297779503,1.12,0.178737104,NLT
25,109.5,26.8,2,NA,NAA,Forest,640.5375,17.14078897,2.692347068,1.8,0.087927007,NLT
26,106.98,26.97,2,NA,NAA,Forest,858,15.75999354,1.217391304,1.08,0.078529214,NLT
27,118.13,27.03,2,410,1,Forest,1154.933333,18.00999349,3.167753623,1.24,0.115876975,NLT
28,118.13,27.03,2,NA,NAA,Cropland,927,18.00999349,3.167753623,1.24,0.115876975,NLT
29,118.15,27.05,2,NA,NAA,Forest,1079.091071,17.90726623,3.165424901,1.24,0.113084965,NLT
30,114.75,27.67,2,NA,NAA,Forest,332.8,18.49999348,3.248913043,0,0.154433005,NLT
31,117.65,27.73,2,NA,NAA,Forest,1116.488571,10.2785651,5.501956522,1.8,0.090802832,NLT
32,117.65,27.73,2,NA,NAA,Grassland,908,10.32999367,5.667826087,1.8,0.088028107,NLT
33,114.63,27.75,2,NA,NAA,Forest,980,18.55999348,2.856956522,1.24,0.179978367,NLT
34,113.03,28.12,2,80,1,Forest,601.4,18.58799348,0.433086956,1.12,0.146791926,NLT
35,116.93,28.25,2,NA,NAA,Cropland,745,18.47999348,0.545454545,1.09,0.254432102,NLT
36,103.8,28.7,2,NA,NAA,Forest,831,13.3899936,2.854565217,1.16,0.06414059,NLT
37,91.35,29.68,2,NA,NAA,Cropland,579,7.279993734,0.245805336,2.13,0.071212753,NLT
38,121.8,29.8,2,NA,NAA,Forest,1214.333333,15.96999354,4.061086957,3.07,0.540336354,NLT
39,118.85,29.93,2,NA,NAA,Forest,1418.09625,14.28499358,3.481304348,3.07,0.149836078,NLT
40,102.98,29.97,2,NA,NAA,Forest,410.9083333,15.47999355,3.187391304,1.45,0.073462827,NLT
41,103,30.58,3,NA,NAA,Forest,389,9.319993688,3.767826087,0.74,0.056161758,NLT
