,Lon,Lat,Alt,Eco,FROM,Region,flux,MAT
1,101.2,21.85,756,Forest,N-SRDB,China,931.07,20.7233267666667
2,101.25,21.93,580,Forest,N-SRDB,China,943.75,22.55999339
3,101.2,21.95,NA,Forest,N-SRDB,China,995.5,21.14999342
4,112.83,22.57,NA,Forest,N-SRDB,China,699.485,22.47099339
5,112.9,22.68,NA,Forest,N-SRDB,China,1089.69692307692,22.6215318523077
6,112.58,23.13,NA,Forest,N-SRDB,China,1069.345,22.85499339
7,112.53,23.17,NA,Forest,N-SRDB,China,1057.38888888889,22.7966600533333
8,112.17,23.17,NA,Forest,N-SRDB,China,597,22.80999339
9,112.55,23.18,NA,Forest,N-SRDB,China,1053,23.04999338
10,113.5,23.33,125,Forest,N-SRDB,China,964,22.3249934
11,117.43,24.33,225,Forest,N-SRDB,China,1169.797,19.93999345
12,101.02,24.53,200,Forest,N-SRDB,China,1130.335714,11.0814222171429
13,118.92,24.92,200,Forest,N-SRDB,China,1215.556364,21.0436297890909
14,113.45,25.22,240,Forest,N-SRDB,China,1572,15.59999355
15,113.43,25.23,200,Forest,N-SRDB,China,1083,15.59999355
16,116.42,25.68,200,Cropland,N-SRDB,China,431.5,19.05999347
17,116.42,25.68,200,Grassland,N-SRDB,China,928.5,19.27999347
18,116.42,25.68,200,Forest,N-SRDB,China,1522,19.27999347
19,119.25,26.05,NA,Grassland,N-SRDB,China,1684,21.02999343
20,120.02,26.12,NA,Forest,N-SRDB,China,1052.23,NaN
21,117.43,26.2,NA,Forest,N-SRDB,China,960.333333333333,20.21999344
22,117.53,26.22,NA,Forest,N-SRDB,China,924,20.38999344
23,115.07,26.75,NA,Cropland,N-SRDB,China,1360.5,18.54999348
24,115.07,26.75,NA,Forest,N-SRDB,China,647.510485142857,19.1685648971429
25,109.5,26.8,NA,Forest,N-SRDB,China,640.5375,17.14078897
26,106.98,26.97,NA,Forest,N-SRDB,China,858,15.75999354
27,118.13,27.03,410,Forest,N-SRDB,China,1154.93333333333,18.0099934933333
28,118.13,27.03,NA,Cropland,N-SRDB,China,927,18.0099934933333
29,118.15,27.05,NA,Forest,N-SRDB,China,1079.09107113182,17.9072662254545
30,114.75,27.67,NA,Forest,N-SRDB,China,332.8,18.49999348
