NO,Lon,Lat,lat,Alt,alt,Eco,month,flux,MMT,SWC
1,121.53,31.65,3,,NAA,Forest,8,0.210789491,28.66999326,NaN
2,121.53,31.65,3,,NAA,Forest,4,0.421602873,16.93999352,0.502799737
3,121.53,31.65,3,,NAA,Forest,3,0.295123206,8.959993696,0.499401896
4,121.53,31.65,3,,NAA,Forest,9,0.379447364,23.86999336,0.414447459
5,121.53,31.65,3,,NAA,Forest,12,0.295123206,6.199993758,0.388383378
6,121.53,31.65,3,,NAA,Forest,11,0.295122011,16.32999353,0.397945751
7,121.53,31.65,3,,NAA,Forest,1,0.463764355,4.629993793,0.431605076
8,121.53,31.65,3,,NAA,Forest,10,0.421608846,18.86999347,0.402114093
9,121.53,31.65,3,,NAA,Forest,5,0.463758382,20.69999343,0.447301348
10,110.27,31.57,3,1700,2,Forest,10,0.599728579,11.96999363,0.115513429
11,121.53,31.65,3,,NAA,Forest,2,0.505925836,4.289993801,0.5310062
12,121.53,31.65,3,,NAA,Forest,7,0.505937782,29.08999325,NaN
13,121.53,31.65,3,,NAA,Forest,6,0.548093291,23.60999337,0.509959406
14,110.27,31.57,3,1700,2,Forest,9,0.84400125,17.05999352,0.108442843
15,110.27,31.57,3,1700,2,Forest,8,0.968841138,22.69999339,0.070988677
16,110.27,31.57,3,1700,2,Forest,6,0.930404099,20.12999345,0.050678366
17,110.27,31.57,3,1700,2,Forest,7,1.078940596,23.02999338,0.076468483
18,103.38,30.33,3,,NAA,Cropland,1,7.066819418,4.74999379,0.069017671
19,126.7,45.6,4,,NAA,Cropland,4,66.91392948,6.39666042,0.090367129
20,121.69,50.85,5,754,1,Forest,10,5.856846633,-2.025832505,0.070679108
21,108.09,34.8,3,900-1300,NAA,Cropland,12,3.962952327,-1.110006079,0.061393369
22,105.47,31.27,3,,NAA,Cropland,12,126.6077865,7.444279444,0.071803373
23,124.98,49.45,4,519,1,Forest,10,7.089086383,2.574690809,0.086466931
24,117.43,26.19,2,,NAA,Forest,9,404.6023025,26.07399331,0.06943189
25,124.98,49.45,4,519,1,Forest,4,9.382623689,5.144993781,0.070257988
26,108.09,34.8,3,900-1300,NAA,Cropland,1,7.925904655,-3.600006023,0.069886111
27,103.38,30.33,3,,NAA,Cropland,5,12.38722931,21.66999341,0.167394012
28,102.78,37.92,3,1600,2,Grassland,4,9.138272728,11.54999364,0.079463672
29,117,28,2,,NAA,Cropland,12,39.74894198,6.679993747,0.084015384
30,121.69,50.85,5,754,1,Forest,6,22.26405373,14.35974565,0.338745507
31,102.97,38.57,3,1300,2,Grassland,10,9.675818182,11.70999363,0.120746195
32,102.42,37.7,3,2200,3,Grassland,10,15.58881818,2.08999385,0.069560524
33,121.69,50.85,5,760,1,Forest,9,19.06394986,7.461522656,0.142874077
34,121.69,50.85,5,749,1,Forest,4,11.53138209,0.898175694,0.064264828
35,121.69,50.85,5,760,1,Forest,5,18.3190565,9.18854741,0.087844739
36,102.78,37.92,3,1300,2,Grassland,10,12.90109091,11.20999364,0.070980733
37,105.47,31.27,3,,NAA,Cropland,3,149.2118842,13.75999359,0.075193848
38,127.67,45.4,4,450,1,Forest,1,33.20919435,-19.18000567,0.045608889
39,124.98,49.45,4,519,1,Forest,5,15.95043576,13.01158451,0.095857307
40,124.98,49.45,4,519,1,Forest,9,15.84620928,11.64211485,0.18304989
41,103.38,30.33,3,,NAA,Cropland,3,15.55457454,15.07999356,0.067649476
